workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,native-country,income,age_bin,hours_bin
4,117747,11,15,2,12,5,1,0,0,1573,0,0,1,1
2,226296,9,4,2,11,0,4,1,0,0,39,1,1,1
2,115585,15,1,4,6,1,4,1,0,0,39,0,1,2
6,191277,10,7,2,10,0,4,1,0,1902,39,1,2,2
4,202683,15,1,2,12,0,4,1,0,0,39,1,2,2
4,171095,7,3,0,4,4,4,0,0,0,9,0,2,1
1,249409,11,15,4,8,3,2,1,0,0,39,0,1,1
4,124191,12,5,2,4,0,4,1,0,0,39,1,4,1
4,198282,9,4,2,4,0,4,1,15024,0,39,1,2,2
6,149116,12,5,4,10,1,4,0,0,0,39,0,2,2
4,188300,15,1,4,13,3,4,0,0,0,39,0,0,1
4,103432,11,15,4,3,1,4,1,0,0,39,0,1,1
5,317660,11,15,2,3,0,4,1,7688,0,39,1,1,1
0,304873,0,12,4,0,3,4,0,34095,0,39,0,0,1
4,194901,1,13,4,6,3,4,1,0,0,39,0,1,1
2,189265,11,15,4,1,1,4,0,0,0,39,0,1,1
4,124692,11,15,2,6,0,4,1,0,0,39,0,2,1
4,432376,9,4,4,12,2,4,1,0,0,39,0,0,1
4,65324,14,6,2,10,0,4,1,0,0,39,1,2,1
6,335605,11,15,2,8,0,4,1,0,1887,2,1,3,2
4,377869,15,1,2,12,5,4,0,4064,0,39,0,1,1
4,102864,11,15,4,7,3,4,0,0,0,39,0,2,1
4,95647,6,11,2,6,0,4,1,0,0,39,0,3,2
5,303090,15,1,2,12,0,4,1,0,0,39,0,3,2
2,197371,8,2,2,3,0,2,1,0,0,39,1,2,1
4,247552,15,1,2,12,0,4,1,0,0,39,0,3,2
4,102632,11,15,4,3,1,4,1,0,0,39,0,0,2
4,199915,15,1,4,8,3,4,0,0,0,39,0,0,1
4,118853,9,4,2,4,0,4,1,0,0,39,0,2,2
4,77143,9,4,4,4,3,2,1,0,0,11,0,1,1
7,267989,9,4,2,10,0,4,1,0,0,39,1,1,2
4,301606,15,1,4,8,3,2,1,0,0,39,0,0,1
4,287828,9,4,2,4,5,4,0,0,0,39,1,2,1
4,111697,15,1,4,1,3,4,0,0,1719,39,0,0,1
4,114937,7,3,2,1,0,4,1,0,0,39,1,1,1
0,129305,11,15,2,0,0,4,1,0,0,39,0,1,1
4,365739,15,1,0,3,1,4,1,0,0,39,0,2,1
4,69621,7,3,4,12,1,4,0,0,0,39,0,1,2
4,43323,11,15,4,8,1,4,0,0,1762,39,0,0,1
6,120985,11,15,2,3,0,4,1,4386,0,39,0,2,1
4,254202,9,4,2,12,0,4,1,0,0,39,0,2,2
4,146195,7,3,0,13,1,2,0,0,0,39,0,2,1
1,125933,12,5,2,10,0,4,1,0,0,20,1,2,1
6,56920,11,15,2,3,0,4,1,0,0,39,0,2,2
4,163127,8,2,2,1,5,4,0,0,0,39,0,1,1
4,34310,15,1,4,12,3,4,1,0,0,39,0,0,0
4,81973,15,1,2,3,0,1,1,0,0,39,1,2,1
5,66614,11,15,2,3,0,4,1,0,0,39,0,3,1
4,232782,15,1,4,12,3,4,0,0,0,39,0,1,1
4,316868,15,1,4,8,3,4,1,0,0,26,0,0,1
4,196584,8,2,4,10,1,4,0,0,1564,39,1,2,1
4,105376,15,1,4,13,2,4,1,0,0,39,0,4,1
4,185814,11,15,4,14,4,2,0,0,0,39,0,1,1
4,175374,15,1,2,8,0,4,1,0,0,39,0,0,1
4,108293,11,15,6,8,4,4,0,0,0,39,0,2,1
4,181232,1,13,2,3,0,4,1,0,2179,39,0,3,1
0,174662,15,1,0,0,1,4,0,0,0,39,0,2,1
2,186009,15,1,0,1,4,4,0,0,0,26,0,2,1
4,198183,11,15,4,1,1,4,0,0,0,39,0,1,1
4,163003,9,4,4,4,2,1,0,0,0,30,0,1,1
4,296158,11,15,4,3,3,4,1,0,0,39,0,0,1
0,252903,11,15,0,0,1,4,1,0,0,39,1,3,2
4,187715,11,15,2,3,0,4,1,0,0,39,0,2,2
4,214542,9,4,4,6,1,4,1,0,0,39,0,0,1
6,494223,15,1,5,12,4,2,1,0,1816,39,0,4,0
4,191535,11,15,0,3,1,4,1,0,0,39,0,1,2
4,228456,9,4,5,8,2,2,1,0,0,39,0,2,2
0,38317,3,8,0,0,1,4,0,0,0,39,0,4,0
4,252752,11,15,4,8,4,4,0,0,0,39,0,0,1
5,78374,12,5,0,4,4,1,0,0,0,39,0,2,1
4,88419,11,15,4,4,1,1,0,0,0,9,0,1,1
6,201080,12,5,2,12,0,4,1,0,0,39,1,2,1
4,207157,15,1,0,8,4,4,0,0,0,26,0,2,1
1,235485,7,3,4,4,1,4,1,0,0,39,0,2,2
7,102628,12,5,6,11,4,4,1,0,0,39,0,2,1
4,25828,1,13,4,6,3,4,1,0,0,39,0,0,0
2,54826,8,2,6,10,1,4,0,0,0,39,0,4,0
4,124953,11,15,4,8,1,4,1,0,1980,39,0,1,1
7,175325,11,15,2,11,0,4,1,0,0,39,0,1,1
4,96062,15,1,2,12,0,4,1,0,1977,39,1,3,1
4,428030,9,4,4,3,1,4,1,0,0,39,0,1,2
7,149624,9,4,2,10,0,4,1,0,0,39,1,1,1
4,253814,11,15,3,12,4,4,0,0,0,39,0,1,1
4,312956,11,15,4,3,3,2,1,0,0,39,0,0,1
4,483777,11,15,4,6,1,2,1,0,0,39,0,1,1
4,183930,11,15,4,8,3,4,1,0,0,39,0,0,0
4,37274,9,4,2,10,0,4,1,0,0,39,0,1,3
2,181344,15,1,2,4,0,2,1,0,0,39,1,2,1
4,114580,15,1,0,1,1,4,0,0,0,39,0,2,1
4,633742,15,1,4,3,1,2,1,0,0,39,0,1,2
4,286370,5,10,2,7,0,4,1,0,0,26,1,2,1
1,29054,15,1,2,1,0,4,1,0,0,39,1,2,2
4,304030,11,15,2,1,0,2,1,0,0,39,0,1,1
6,143129,9,4,0,4,1,4,0,0,0,39,0,2,1
0,135105,9,4,0,0,1,4,0,0,0,39,0,3,2
4,99928,12,5,2,10,5,4,0,0,0,39,0,1,2
7,109567,10,7,2,10,0,4,1,0,0,39,1,3,0
4,155222,15,1,0,7,1,2,0,0,0,39,0,2,1
4,159567,15,1,2,7,0,4,1,0,0,39,0,0,1
2,523910,9,4,2,3,0,2,1,0,0,39,0,2,1
4,120939,15,1,2,13,0,4,1,0,0,39,0,2,2
1,130760,9,4,2,13,0,4,1,0,0,39,0,2,1
4,197387,4,9,2,14,2,4,1,0,0,26,0,0,1
4,99374,15,1,0,3,1,4,1,0,0,39,0,2,1
1,56795,12,5,4,4,1,4,0,14084,0,39,1,2,2
4,138992,12,5,2,10,2,4,1,7298,0,39,1,1,1
6,32921,11,15,4,12,1,4,1,0,0,39,0,0,1
4,397317,12,5,4,10,1,4,0,0,1876,39,0,1,1
0,170653,11,15,4,0,3,4,1,0,0,22,0,0,1
4,259323,9,4,2,4,0,4,1,0,0,39,1,3,2
2,254817,15,1,4,10,1,4,0,0,1340,39,0,2,1
7,48211,11,15,0,1,4,4,0,0,0,39,0,2,1
4,140164,1,13,4,12,3,4,0,0,0,39,0,0,1
4,128757,9,4,2,8,0,2,1,7298,0,39,1,2,1
4,36270,11,15,0,3,1,4,1,0,0,39,0,1,2
5,210563,11,15,2,12,5,4,0,15024,0,39,1,3,1
4,65368,1,13,4,12,3,4,0,0,0,39,0,0,0
2,160943,11,15,2,14,0,2,1,0,0,39,0,2,1
4,208358,11,15,2,3,0,4,1,0,0,39,1,2,1
4,153790,15,1,4,12,1,0,0,0,0,39,0,1,1
4,85815,11,15,2,3,0,1,1,0,0,39,0,3,1
5,125417,5,10,2,7,0,4,1,0,0,39,1,3,1
4,635913,9,4,4,4,1,2,1,0,0,39,1,2,2
4,313321,7,3,0,12,1,4,0,0,0,39,0,2,1
4,182609,9,4,2,12,0,4,1,0,0,31,0,2,2
4,109434,9,4,2,10,0,4,1,0,0,39,0,2,2
4,255004,0,12,4,3,1,4,1,0,0,39,0,0,1
4,197860,15,1,2,6,0,4,1,0,0,39,0,1,1
0,187656,3,8,0,0,1,4,1,0,0,39,0,3,1
4,51744,11,15,4,8,1,2,1,0,2206,39,0,4,1
4,176681,11,15,2,1,0,2,1,0,0,39,0,3,0
2,140359,13,0,4,7,1,4,0,0,0,39,0,3,1
4,243313,11,15,4,12,3,4,0,0,0,39,0,0,1
0,24215,0,12,0,0,1,0,0,0,0,39,0,3,0
6,167687,11,15,2,5,0,4,1,1409,0,39,0,4,2
4,314209,8,2,6,1,1,4,0,0,0,4,0,4,0
4,176796,11,15,0,1,1,4,0,0,0,39,0,3,1
4,538583,1,13,5,14,1,2,1,3674,0,39,0,1,1
4,130408,11,15,0,12,4,2,0,0,0,39,0,2,1
4,159732,15,1,4,1,1,4,1,0,0,39,0,0,2
4,110978,15,1,0,3,2,3,0,0,0,39,0,1,1
4,76714,14,6,4,10,1,4,1,0,0,39,1,1,2
7,268700,11,15,2,8,0,4,1,0,0,39,0,3,1
7,170525,15,1,4,1,1,4,0,0,0,39,0,2,1
4,180138,9,4,2,4,0,4,1,0,0,20,1,2,2
2,115076,12,5,2,4,0,4,1,0,0,39,1,2,3
4,115458,11,15,4,14,3,4,1,0,0,39,0,0,1
4,347890,9,4,2,10,0,4,1,0,0,39,1,2,1
6,196001,11,15,2,8,5,4,0,0,0,39,0,2,0
7,273905,7,3,2,11,0,4,1,0,0,39,0,0,2
0,119156,15,1,4,0,3,4,1,0,0,39,0,0,0
4,179488,15,1,0,3,1,4,1,0,1741,39,0,2,1
4,203580,11,15,2,1,0,4,1,0,0,0,0,3,1
4,236596,11,15,2,1,0,4,1,0,0,39,1,3,2
4,183916,11,15,4,8,1,4,0,0,0,39,0,1,1
4,207578,7,3,2,13,0,4,1,0,1977,39,1,2,2
4,153141,11,15,2,1,0,4,1,0,0,0,0,2,1
4,112763,14,6,2,10,5,4,0,0,0,39,1,2,1
4,390781,9,4,2,1,5,2,0,0,0,39,0,2,1
2,171328,0,12,6,8,4,2,0,0,0,39,0,3,1
2,27382,15,1,4,1,3,4,1,0,0,39,0,0,1
4,259014,15,1,4,14,1,4,1,0,0,39,0,3,0
6,303044,11,15,2,5,0,1,1,0,0,1,1,2,1
4,117789,11,15,4,8,3,4,0,0,0,39,0,0,1
4,172579,11,15,5,8,1,4,0,0,0,39,0,1,1
4,187666,8,2,6,4,1,4,0,0,0,39,0,2,2
4,204518,5,10,0,3,1,4,1,0,0,39,0,2,1
4,150042,9,4,0,10,3,4,0,0,0,39,0,2,1
4,98092,11,15,2,12,0,4,1,0,0,39,0,2,2
4,245918,1,13,4,8,3,4,1,0,0,39,0,0,0
4,146013,15,1,2,12,0,4,1,4064,0,39,0,3,1
4,378322,1,13,2,3,0,4,1,0,0,39,0,1,1
5,257295,15,1,2,4,0,1,1,0,0,37,1,2,3
0,218956,15,1,4,0,3,4,1,0,0,2,0,0,1
4,21174,11,15,2,4,0,4,1,0,0,39,1,3,1
4,185480,9,4,4,10,1,4,0,0,0,39,0,1,2
4,222205,11,15,2,3,5,4,0,0,0,39,1,1,1
4,69867,11,15,2,4,0,4,1,0,0,39,1,3,1
4,191260,6,11,4,8,3,4,1,1055,0,39,0,0,1
6,30653,12,5,2,5,0,4,1,2407,0,39,0,2,4
2,209109,12,5,4,10,3,4,1,0,0,39,0,1,1
4,70377,11,15,0,10,3,4,0,0,0,39,0,1,1
4,477983,11,15,2,6,0,2,1,0,0,39,0,2,1
4,170924,15,1,2,3,0,4,1,7298,0,39,1,2,1
4,190174,15,1,4,4,1,4,0,0,0,39,0,1,1
4,193787,15,1,4,13,3,4,0,0,0,39,0,0,1
4,279472,15,1,2,7,5,4,0,7298,0,39,1,0,2
4,34918,9,4,4,10,1,4,0,0,0,11,0,0,0
2,97688,15,1,2,3,0,4,1,5178,0,39,1,2,1
4,175413,7,3,0,12,4,2,0,0,0,39,0,1,2
4,173960,9,4,0,10,1,4,0,0,0,39,0,3,2
4,205759,11,15,4,6,3,4,1,0,0,39,0,0,1
1,425161,12,5,2,12,0,4,1,15024,0,39,1,3,1
4,220531,14,6,2,10,0,4,1,0,0,39,1,2,2
4,176609,15,1,0,8,1,4,1,0,0,39,0,2,2
4,371987,9,4,4,4,1,4,0,0,0,39,0,0,1
4,193884,5,10,2,3,0,4,1,0,0,7,0,2,1
4,200352,9,4,2,10,0,4,1,0,0,39,0,2,2
4,127595,11,15,0,10,1,4,0,0,0,39,0,1,1
2,220419,9,4,4,11,1,4,1,0,0,39,0,1,2
4,231931,15,1,4,12,3,4,1,0,0,39,0,0,2
4,248402,9,4,4,13,4,2,0,0,0,39,0,1,1
4,111095,11,15,2,14,0,4,1,0,0,39,0,3,0
5,57424,9,4,0,12,1,4,0,0,0,39,0,2,2
0,157443,12,5,2,0,5,1,0,3464,0,0,0,2,1
4,278130,11,15,4,3,3,4,1,0,0,39,0,0,1
4,169469,11,15,0,12,1,4,1,0,0,39,0,2,3
4,146268,9,4,2,1,0,4,1,7688,0,39,1,2,1
4,153718,15,1,4,8,1,1,0,0,0,39,0,0,1
4,217460,11,15,2,14,0,4,1,0,0,39,1,1,2
4,238638,11,15,2,12,0,4,1,4386,0,39,1,3,1
4,303296,15,1,2,1,5,1,0,0,0,25,0,0,1
4,173321,11,15,0,1,1,4,0,0,0,39,0,2,1
4,193945,7,3,4,13,1,4,1,0,0,39,0,1,2
4,83082,7,3,4,10,1,4,0,0,0,39,0,2,1
4,193815,7,3,2,1,0,4,1,0,0,39,1,1,1
5,34987,15,1,2,5,0,4,1,0,0,39,1,2,2
4,59306,9,4,4,12,1,4,1,0,0,39,0,1,1
4,142897,12,5,2,4,0,1,1,7298,0,36,1,1,1
0,860348,15,1,4,0,3,2,0,0,0,39,0,0,1
6,205607,9,4,0,10,1,2,0,0,0,39,1,2,1
4,199698,15,1,4,12,3,4,1,0,0,39,0,0,0
4,191954,15,1,4,7,1,4,1,0,0,39,0,0,1
6,138714,15,1,2,12,0,4,1,0,0,39,0,4,1
4,399087,4,9,2,7,2,4,0,0,0,26,0,0,1
4,423158,15,1,4,13,1,4,0,0,0,39,0,1,1
4,159841,11,15,6,8,1,4,0,0,0,39,0,3,1
6,174308,11,15,2,4,0,4,1,0,0,39,0,2,1
4,50356,15,1,2,3,0,4,1,0,1485,39,0,2,2
4,186110,11,15,0,14,1,4,1,0,0,39,0,1,2
4,200381,1,13,4,4,1,4,0,0,0,39,0,1,1
6,174309,12,5,2,3,0,4,1,0,0,39,0,4,0
6,78383,11,15,2,5,0,4,1,0,0,39,0,3,2
0,211601,8,2,4,0,3,2,0,0,0,39,0,0,0
4,187728,15,1,2,10,5,4,0,0,1887,39,1,2,2
6,321171,11,15,2,6,0,4,1,0,0,39,0,3,1
4,127921,11,15,4,14,1,4,1,2050,0,39,0,4,2
4,206565,15,1,4,3,1,2,1,0,0,39,0,2,2
4,224563,9,4,4,1,1,4,1,0,0,39,0,1,1
4,178686,8,2,4,8,1,4,1,0,0,39,0,2,1
2,98545,0,12,2,1,0,4,1,0,0,39,0,3,1
4,242606,11,15,2,14,0,4,1,0,0,39,0,3,1
4,270942,4,9,4,8,2,4,1,0,0,26,0,0,2
4,94235,11,15,4,3,2,4,1,0,0,39,0,1,1
4,71195,12,5,4,10,1,4,1,0,0,39,0,2,2
4,104112,11,15,4,12,4,2,1,0,0,14,0,0,1
4,261192,11,15,2,8,0,2,1,0,0,39,0,2,1
4,94936,7,3,4,12,1,4,1,0,0,39,0,1,1
4,296478,8,2,2,3,0,4,1,7298,0,39,1,2,1
7,119272,11,15,2,11,0,4,1,7298,0,39,1,2,1
4,85043,11,15,4,5,1,4,1,0,0,39,0,1,0
7,293364,15,1,4,11,3,2,0,0,0,39,0,0,1
6,241895,9,4,4,12,1,4,1,0,0,39,0,2,2
0,36135,1,13,2,0,0,4,1,0,0,39,0,4,0
0,151989,8,2,0,0,4,4,0,0,0,39,0,1,1
4,101128,7,3,3,8,1,4,1,0,0,20,0,3,1
4,156464,9,4,4,10,3,4,1,0,0,39,0,1,1
4,117963,9,4,2,4,0,4,1,0,0,39,1,1,1
4,192262,11,15,2,8,0,4,1,0,0,39,0,1,1
4,111363,9,4,2,4,0,4,1,0,0,39,1,1,1
2,329752,1,13,2,14,0,4,1,0,0,39,0,2,1
0,372020,9,4,2,0,0,4,1,0,0,39,1,3,1
1,95432,11,15,2,1,0,4,1,0,0,39,1,2,1
4,161400,1,13,6,8,4,3,1,0,0,39,0,3,1
4,96129,8,2,2,13,0,4,1,0,0,39,1,2,1
4,111949,11,15,2,1,5,4,0,0,0,39,0,2,1
6,117125,6,11,2,3,0,4,1,0,0,32,0,1,1
4,348022,0,12,2,8,5,4,0,0,0,39,0,2,1
4,270092,12,5,2,10,0,4,1,0,0,39,1,3,1
4,180609,9,4,2,14,0,4,1,0,0,39,0,2,2
4,174575,9,4,0,4,1,4,1,0,1564,39,1,2,2
4,410439,11,15,3,12,1,4,1,0,0,39,0,0,2
4,92262,11,15,2,3,0,4,1,0,0,39,0,1,1
6,183081,15,1,2,12,0,4,1,0,0,39,0,3,2
4,362589,7,3,4,12,1,4,0,0,0,39,0,0,0
4,212448,9,4,0,4,1,4,0,0,0,39,1,3,2
4,481060,11,15,0,12,4,4,0,0,0,39,0,2,1
1,185885,15,1,4,1,4,4,0,0,0,39,0,1,0
4,89821,1,13,4,8,3,4,1,0,0,39,0,0,0
7,184018,8,2,2,7,0,4,1,0,0,39,1,2,1
4,256649,11,15,2,7,0,2,1,0,0,39,0,2,1
4,160323,11,15,4,3,1,2,1,0,0,39,0,2,1
2,350845,15,1,4,1,3,4,0,0,0,39,0,0,0
4,267404,11,15,2,3,5,4,0,0,0,39,0,1,1
4,35633,15,1,4,12,1,4,1,0,0,39,0,0,1
6,80914,12,5,0,4,1,4,1,0,0,39,0,2,1
4,172927,11,15,2,12,0,4,1,0,0,39,0,2,2
4,174319,11,15,0,14,1,4,1,0,0,39,0,3,1
4,214955,4,9,0,3,1,4,0,0,2339,39,0,2,2
4,344991,15,1,2,3,0,4,1,0,0,39,0,0,1
4,108699,15,1,0,12,1,4,0,0,0,39,0,2,1
2,117312,15,1,2,14,5,4,0,0,0,39,0,2,1
4,396099,11,15,4,8,1,4,0,0,0,39,0,0,1
4,134152,11,15,5,7,1,4,1,0,0,39,0,1,1
4,162028,15,1,2,1,5,4,0,0,2415,39,1,2,0
4,25429,15,1,4,1,3,4,0,0,0,39,0,0,0
4,232392,11,15,4,8,2,4,0,0,0,39,0,0,1
4,220098,11,15,2,8,5,4,0,0,0,39,1,1,1
4,301302,9,4,4,3,1,4,1,0,0,39,0,1,2
6,277946,7,3,5,3,1,4,1,0,0,39,0,2,1
7,98101,9,4,2,4,0,4,1,7688,0,0,1,1,2
4,196164,11,15,4,8,1,4,0,0,0,39,0,1,1
4,115562,15,1,2,13,0,4,1,0,0,39,0,2,1
4,96975,15,1,0,6,4,4,0,0,0,39,0,2,1
0,137300,11,15,4,0,2,4,0,0,0,39,0,0,1
4,86872,9,4,2,4,0,4,1,0,0,39,1,0,2
5,132178,9,4,2,4,0,4,1,0,0,39,1,3,2
4,416103,15,1,4,6,3,4,1,0,0,39,0,0,1
4,108574,15,1,4,8,1,4,0,0,0,39,0,1,1
7,288353,9,4,2,11,0,4,1,0,0,39,1,2,1
4,227689,8,2,0,13,1,4,0,0,0,39,0,1,3
4,166481,5,10,2,6,0,3,1,0,2179,33,0,1,1
4,445382,12,5,2,4,0,4,1,0,1977,39,1,2,3
4,110145,11,15,2,1,0,4,1,0,0,39,0,1,1
6,317253,11,15,2,3,0,4,1,0,0,39,0,2,1
0,123147,15,1,2,0,5,4,0,0,1887,39,1,1,1
4,364657,15,1,2,4,0,4,1,0,0,39,0,1,2
2,42346,15,1,0,8,1,2,0,0,0,39,0,2,1
4,241951,11,15,4,6,4,2,0,0,0,39,0,0,1
4,118500,15,1,0,4,4,4,0,0,0,39,0,1,1
4,188386,10,7,2,4,0,4,1,15024,0,39,1,2,2
7,1033222,15,1,2,7,0,4,1,0,0,39,0,1,1
4,92440,2,14,0,3,1,4,1,0,0,39,1,1,2
4,190762,3,8,2,7,0,4,1,0,0,26,0,3,1
4,426017,1,13,4,8,3,4,0,0,0,39,0,1,0
2,243867,1,13,5,7,1,2,1,0,0,39,0,1,1
7,240283,11,15,0,14,4,4,0,0,0,39,0,1,1
4,61777,15,1,2,12,0,4,1,0,0,39,0,0,1
4,175024,1,13,4,6,3,4,1,2176,0,39,0,0,0
7,92003,9,4,2,4,5,4,0,0,0,39,1,1,1
4,188401,11,15,0,5,1,4,1,0,0,39,0,1,1
4,228528,0,12,4,3,4,4,0,0,0,39,0,1,1
4,133373,11,15,2,14,0,4,1,0,0,39,0,0,2
1,255191,12,5,4,10,1,4,1,0,1408,39,0,2,1
4,204653,11,15,4,6,1,4,1,0,0,6,0,0,3
5,222289,11,15,2,4,0,4,1,0,0,39,1,3,1
2,287480,12,5,2,10,0,4,1,0,0,39,0,2,1
0,107762,11,15,6,0,1,4,1,0,0,39,0,4,1
0,202521,1,13,4,0,3,4,1,0,0,39,0,0,1
6,204116,9,4,3,10,1,4,0,2174,0,39,0,2,1
4,29662,7,3,2,8,5,4,0,0,0,39,1,1,1
4,116358,15,1,4,3,3,1,1,0,1980,30,0,1,1
4,208405,12,5,2,10,0,4,1,0,0,39,1,1,2
2,284843,11,15,4,5,1,2,1,594,0,39,0,1,2
2,117018,15,1,4,11,1,4,0,0,0,39,0,1,1
4,81281,15,1,2,1,0,4,1,0,0,39,0,0,1
2,340148,15,1,2,1,5,4,0,0,0,39,0,2,1
4,363425,9,4,4,10,1,4,1,0,0,39,0,1,1
4,45857,11,15,0,1,1,4,0,0,0,39,0,2,1
1,191073,11,15,4,2,3,4,1,0,0,39,0,0,1
4,116632,15,1,2,10,0,4,1,0,0,39,1,2,1
4,405855,6,11,4,3,2,4,1,0,0,26,0,1,1
